Column,P-Value
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.21403626721538338
Global_Length_Pair_1,0.2162246920112869
Interface_Average_Difference_Polarity_Scores_Pair_2,0.21873940184297663
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,0.22207658755968657
Blast_Positive_Percent_Joint,0.22338014367569653
Interface_Difference_Turn_Count_Pair_1,0.23122054635180173
Global_Sum_Blosum_Similar_Scores_Pair_1,0.2330073534862413
Blast_Identical_Count_Joint,0.23326564111562004
Blast_Bitscore_Pair_2,0.23371217776942105
Interface_Average_Difference_Polarizability_Scores_Pair_2,0.24324970457102013
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_1,0.2617528019805364
Interface_Average_Difference_Volume_Buried_Residue_Scores_Pair_2,0.26365397523505396
Interface_Non-Matching_Percent_Joint,0.2728613140470951
Interface_Average_Difference_Volume_Side_Chains_Scores_Joint,0.2810115880970412
Interface_Non-Matching-Gap_Percent_Pair_2,0.28298007344491327
Interface_Difference_Hydrophobicity_Scores_Pair_1,0.283664709919504
Interface_Difference_Hydrophobicity_Scores_Pair_2,0.2847617018964052
Domain_Sum_Blosum_Similar_Scores_Joint,0.2876007928692479
Global_Sum_Blosum_Similar_Scores_Joint,0.29051763337190295
Blast_Alignment_Length_Pair_1,0.3096601265538903
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.3153736385365836
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.3189683479514558
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.32471976832472943
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.3259769130578724
Blast_Positive_Percent_Pair_2,0.3455993524150479
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.3739249640098986
Blast_End_B_Pair_1,0.3780988818112944
Global_Matching_Percent_Pair_2,0.3822222071974281
Interface_Difference_Volume_Side_Chains_Scores_Pair_2,0.3825282713392847
Domain_Sum_Blosum_Similar_Scores_Pair_2,0.41128269617498425
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.413512145341414
Interface_Difference_Hydrophobicity_Scores_Joint,0.43237842725058073
Global_Matching_Percent_Joint,0.4422832709507199
Interface_Average_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.44622817921724167
Blast_Positive_Percent_Pair_1,0.4619245966239718
Blast_E-Value_Joint,0.48868969281779623
Global_Sum_Blosum_Non-Similar_Scores_Pair_1,0.49509790478588483
Interface_Gap_Score_Joint,0.4999963994839052
Interface_Gap_Score_Pair_2,0.4999963994839052
Interface_Gap_Score_Pair_1,0.4999963994839052
